First Name;Last Name;Email;Phone;Assistant;Groups;Location;Organization;Order
Edgar;Collier;Edgar.Collier@pipedrive.com;(415) 366-3362;Stacy Conely  ;Leads from VILCON;85 S. Whitemarsh Ave.;Computer Medic;1
Colten;Gentry;Colten.Gentry@pipedrive.com;(306) 864-2575;Tony Cano  ;Mike’s contacts;Germantown, MD 20874;Dahlal International;2
Averi;Mcclain;Averi.Mcclain@pipedrive.com;(183) 460-9664;Kourtney Zuchowski  ;Really valuable contacts;60 Wellington Lane;Authorized Photo;3
Yadiel;Blackburn;Yadiel.Blackburn@pipedrive.com;(690) 929-0410;Chanell Bivins  ;Really valuable contacts;Caldwell, NJ 07006;Carpet One;4
Mila;Benson;Mila.Benson@pipedrive.com;(721) 933-0127;Ulysses Muth  ;EU clients;28 Cleveland Ave.;Rite Aid Pharmacy;5
Brenton;Moran;Brenton.Moran@pipedrive.com;(678) 333-7918;;Leads from Conference;Champaign, IL 61821;City Of Greenville;6
Jadiel;Mckinney;Jadiel.Mckinney@pipedrive.com;(415) 812-9559;Gala Stockton  ;Leads from Conference;63 Summit St.;Highland Ford;7
Makayla;Carter;Makayla.Carter@pipedrive.com;(512) 317-2387;Le Partlow  ;EU clients;South El Monte, CA 91733;Aonics Electronics;8
Abagail;Sanford;Abagail.Sanford@pipedrive.com;(203) 360-2484;Kiana Brack  ;Really valuable contacts;8185 Piper St.;Overhead Door;9
Rigoberto;Mccormick;Rigoberto.Mccormick@pipedrive.com;(367) 800-2953;Latricia Fergus  ;Leads from Conference;Waterford, MI 48329;Gardener's World;10
Ruth;Hale;Ruth.Hale@pipedrive.com;(530) 299-3883;;EU clients;111 Wakehurst Road;Dairy Trade;11
Kathleen;Jones;Kathleen.Jones@pipedrive.com;(735) 576-6597;Franklyn Hopp  ;Really valuable contacts;Chevy Chase, MD 20815;Hands Of Time Art Gallery;12
Monica;Gaines;Monica.Gaines@pipedrive.com;(721) 804-5738;;Mike’s contacts;334 Poplar Ave.;Nutritional Biomedicine;13
Carlos;Dougherty;Carlos.Dougherty@pipedrive.com;(548) 217-6640;Clementina Larimore  ;EU clients;Sheboygan, WI 53081;Marineone Corporation;14
